TransactionID,TransactionDT,card1,DeviceInfo,isFraud,TransactionAmt,tx_count_5m_per_card,high_risk_tx_5m_per_card,distinct_cards_5m_per_device,addr_mismatch_streak_per_card,rapid_tx_streak_per_card,distinct_devices_1h_per_card,amount_sum_5m_per_card
2987000,86400,13926,,0,68.5,1,1.0,,1,1,0.0,68.5
2987001,86401,2755,,0,29.0,1,0.0,,0,1,0.0,29.0
2987002,86469,4663,,0,59.0,1,1.0,,1,1,0.0,59.0
2987003,86499,18132,,0,50.0,1,1.0,,1,1,0.0,50.0
2987004,86506,4497,SAMSUNG SM-G892A Build/NRD90M,0,50.0,1,0.0,1.0,0,1,1.0,50.0
2987005,86510,5937,,0,49.0,1,1.0,,1,1,0.0,49.0
2987006,86522,12308,,0,159.0,1,1.0,,1,1,0.0,159.0
2987007,86529,12695,,0,422.5,1,1.0,,1,1,0.0,422.5
2987008,86535,2803,iOS Device,0,15.0,1,0.0,1.0,0,1,1.0,15.0
2987009,86536,17399,,0,117.0,1,0.0,,0,1,0.0,117.0
2987010,86549,16496,Windows,0,75.887,1,0.0,1.0,0,1,1.0,75.887
2987011,86555,4461,,0,16.495,1,0.0,,0,1,0.0,16.495
2987012,86564,3786,,0,50.0,1,1.0,,1,1,0.0,50.0
2987013,86585,12866,,0,40.0,1,1.0,,1,1,0.0,40.0
2987014,86596,11839,,0,10.5,1,1.0,,1,1,0.0,10.5
2987015,86618,7055,,0,57.95,1,1.0,,1,1,0.0,57.95
2987016,86620,1790,MacOS,0,30.0,1,0.0,1.0,0,1,1.0,30.0
2987017,86668,11492,Windows,0,100.0,1,0.0,2.0,0,1,1.0,100.0
2987018,86725,4663,,0,47.95,2,2.0,,2,1,0.0,106.95
2987019,86730,7005,,0,186.0,1,1.0,,1,1,0.0,186.0
2987020,86761,7875,,0,39.0,1,1.0,,1,1,0.0,39.0
2987021,86769,11401,,0,159.95,1,1.0,,1,1,0.0,159.95
2987022,86786,1724,,0,50.0,1,0.0,,0,1,0.0,50.0
2987023,86808,2392,,0,107.95,1,1.0,,1,1,0.0,107.95
2987024,86821,10112,,0,73.95,1,1.0,,1,1,0.0,73.95
2987025,86944,15385,,0,107.95,1,1.0,,1,1,0.0,107.95
2987026,86945,17868,,0,184.0,1,1.0,,1,1,0.0,184.0
2987027,86972,11307,,0,47.95,1,1.0,,1,1,0.0,47.95
2987028,86973,8431,,0,20.0,1,1.0,,1,1,0.0,20.0
2987029,86979,12932,,0,36.99,1,1.0,,1,1,0.0,36.99
2987030,86994,13276,,0,35.0,1,1.0,,1,1,0.0,35.0
2987031,86998,6573,,0,363.89,1,0.0,,0,1,0.0,363.89
2987032,87008,7835,,0,200.0,1,0.0,,0,1,0.0,200.0
2987033,87078,8613,,0,40.0,1,1.0,,1,1,0.0,40.0
2987034,87135,17359,,0,107.95,1,0.0,,0,1,0.0,107.95
2987035,87140,9766,,0,107.95,1,1.0,,1,1,0.0,107.95
2987036,87149,4806,,0,77.0,1,1.0,,1,1,0.0,77.0
2987037,87161,13249,,0,21.95,1,0.0,,0,1,0.0,21.95
2987038,87172,5463,,0,25.0,1,0.0,,0,1,0.0,25.0
2987039,87202,12598,,0,39.95,1,0.0,,0,1,0.0,39.95
2987040,87209,13329,Windows,0,75.887,1,0.0,1.0,0,1,1.0,75.887
2987041,87220,9002,,0,774.0,1,1.0,,1,1,0.0,774.0
2987042,87233,13085,,0,117.0,1,1.0,,1,1,0.0,117.0
2987043,87248,10776,,0,49.0,1,1.0,,1,1,0.0,49.0
2987044,87266,9281,,0,39.5,1,1.0,,1,1,0.0,39.5
2987045,87275,16132,,0,36.95,1,1.0,,1,1,0.0,36.95
2987046,87285,12544,,0,49.0,1,1.0,,1,1,0.0,49.0
2987047,87285,4208,,0,15.0,1,1.0,,1,1,0.0,15.0
